filer_id,Filer,Business Phone,WhaleScore 1 Yr Equal-Wt,WhaleScore 1 Yr Mgr-Wt,WhaleScore Qtr Equal-Wt,Fund Size,Holdings,13F AUM,Turnover,% in Top 10,Perf Equal QoQ,Perf Equal All,Perf Mgr QoQ,Perf Mgr All,Earliest 13F,Perf Equal 1 Year,Perf Equal 5 Year,Perf Mgr-Wt 1 Year,Perf Mgr-Wt 5 Year,3 Yr Perf Annualized,5 Yr Perf Annualized,7 Yr Perf Annualized,10 Yr Perf Annualized,3 Yr Perf Mgr-Weight Annualized,5 Yr Perf Mgr-Weight Annualized,7 Yr Perf Mgr-Weight Annualized,10 Yr Perf Mgr-Weight Annualized,Avg Time in Top 10,Avg Time Held,Filer CIK,Filer Zip Code,Change in MV,Put Count,Call Count,Prior MV,State,City,Shares Traded,3-Year Sortino Equal Weight,STDDEV 3-Year,5 Yr Beta,3 Yr Alpha,ETF AUM,ETF AUM %,Option AUM,Option AUM Percentage,Call AUM,Call AUM Percentage,PUT AUM,PUT AUM Percentage,Investing Styles,Fund Classifications,First Date 13F Was Filed,Previous 13F AUM,Country,Date Filed
116365,&PARTNERS,615 252 6214,,,,Mid,1822.0,9412546381.0,13.7212,22.5282,-5.37,79.04,-3.57,100.41,2019-02-06 05:00:00 UTC,10.71,100.59,11.77,106.75,10.94,14.940000000000001,,,11.74,15.629999999999999,,,7.3,3.6994,0000107136,37215,12.8702,0,0,8339268923.0,TN,NASHVILLE,24363597.0,0.3832,0.1726,0.9321,-3.38,3867902822.0,41.093,0.0,0.0,0.0,0.0,0.0,0.0,"Long-Term Focus,FINANCE concentrated,Low BETA Stock Focus","Broker-Dealer,Investment Advisor",2019-02-06 05:00:00 UTC,8339268923.0,United States,2025-05-15
430440,1 NORTH WEALTH SERVICES LLC,410-975-0099,,,,Micro,270.0,216068118.0,78.5185,55.2115,-2.05,38.97,-1.66,28.93,2019-02-06 05:00:00 UTC,4.2,24.11,3.48,13.54,3.1399999999999997,4.41,,,1.9800000000000002,2.5700000000000003,,,0.6,0.2156,0001641761,21401,-8.4728,0,0,236069806.0,MD,ANNAPOLIS,1629738.0,-0.1341,0.1068,0.5389,-7.26,187414924.0,86.739,0.0,0.0,0.0,0.0,0.0,0.0,"",Investment Advisor,2019-02-06 05:00:00 UTC,236069806.0,United States,2025-05-15
357246,"1060 CAPITAL, LLC",3123613359,,,,Micro,19.0,44137314.0,89.4737,96.9359,0.0,115.86,,186.81,2017-02-01 05:00:00 UTC,18.46,87.74,30.17,103.16,-0.2,13.43,7.8100000000000005,,9.0,15.229999999999999,12.42,,0.7,0.8333,0001602119,80206,-12.5348,0,1,50462700.0,CO,DENVER,3501795.0,-0.1457,0.3337,1.763,-17.96,0.0,0.0,3679638.0,8.337,3679638.0,8.337,0.0,0.0,"","Investment Advisor,Hedge Fund",2017-02-01 05:00:00 UTC,50462700.0,United States,2025-05-19
698513,10ELMS LLP,9188127998,,,,Micro,271.0,89457218.0,7.7491,39.9468,-1.36,-0.26,-0.72,0.32,2025-02-18 05:00:00 UTC,0.0,0.0,,,,,,,,,,,1.0,0.947,0002056650,74133,3.2759,0,0,86619685.0,OK,TULSA,2068829.0,-0.5259,0.1012,0.5886,,76012210.0,84.97,0.0,0.0,0.0,0.0,0.0,0.0,"",Investment Advisor,2025-02-18 05:00:00 UTC,86619685.0,United States,2025-05-13
500682,11 CAPITAL PARTNERS LP,646-989-3735,75,51,90,Small,19.0,301429665.0,21.0526,75.4645,0.49,42.8,1.25,26.6,2021-02-12 05:00:00 UTC,19.48,0.0,18.69,,21.47,,,,16.259999999999998,,,,4.4,6.8235,0001801172,06820,21.252,0,0,248597715.0,CT,DARIEN,579195.0,0.9519,0.1921,1.0474,7.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","Investment Advisor,Hedge Fund",2021-02-12 05:00:00 UTC,248597715.0,United States,2025-05-15
701788,111 CAPITAL,0188467617,,,,Small,649.0,518151757.0,72.4191,28.7942,-3.69,2.07,-1.13,5.01,2025-03-18 04:00:00 UTC,0.0,0.0,,,,,,,,,,,0.7,0.4022,0002060412,75002,8.7862,0,0,476303001.0,I0,PARIS,6769752.0,-0.1898,0.2338,1.3194,,65659919.0,12.672,0.0,0.0,0.0,0.0,0.0,0.0,"",Investment Advisor,2025-03-18 04:00:00 UTC,476303001.0,FRANCE,2025-05-15
163719,12 WEST CAPITAL MANAGEMENT LP,646-216-7040,67,54,84,Small,22.0,677576324.0,50.0,87.3441,-7.74,236.12,-5.77,139.59,2013-02-14 05:00:00 UTC,26.19,85.21,27.89,-5.11,17.07,13.120000000000001,12.629999999999999,9.520000000000001,12.22,-1.04,4.590000000000001,5.11,9.8,10.0,0001540531,10018,-29.0195,0,0,954595438.0,NY,NEW YORK,10969481.0,0.4857,0.2819,1.1841,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Growth Investor,INFORMATION TECHNOLOGY concentrated,High BETA Stock Focus","Investment Advisor,Hedge Fund",2013-02-14 05:00:00 UTC,954595438.0,United States,2025-05-15
698435,"1248 MANAGEMENT, LLC",9133534415,,,,Micro,172.0,233972411.0,59.3023,60.5406,-4.36,2.41,-5.47,0.02,2025-02-14 05:00:00 UTC,0.0,0.0,,,,,,,,,,,1.0,0.4192,0002011147,64112,0.7843,0,0,232151603.0,MO,KANSAS CITY,1388464.0,-0.1427,0.3018,1.704,,40764660.0,17.423,0.0,0.0,0.0,0.0,0.0,0.0,"","Investment Advisor,Hedge Fund",2025-02-14 05:00:00 UTC,232151603.0,United States,2025-05-15
289237,"12TH STREET ASSET MANAGEMENT COMPANY, LLC",615-915-3701,66,63,61,Small,32.0,586768557.0,12.5,65.2179,-3.5,161.7,-2.77,156.36,2015-02-17 05:00:00 UTC,9.24,108.68,8.2,95.11,9.98,15.85,10.03,9.83,9.13,14.299999999999999,9.719999999999999,9.32,9.1,13.9655,0001633703,37205,-3.2614,0,0,606550719.0,TN,NASHVILLE,2807941.0,0.3029,0.18,0.901,-3.77,75464622.0,12.861,0.0,0.0,0.0,0.0,0.0,0.0,"Long-Term Focus,Low BETA Stock Focus,Value Investor,GARP","Investment Advisor,Hedge Fund",2015-02-17 05:00:00 UTC,606550719.0,United States,2025-05-08
256611,13D MANAGEMENT LLC,(212) 223-2282,48,44,41,Micro,25.0,113411281.0,32.0,59.1115,-14.02,128.85,-13.4,145.96,2014-02-14 05:00:00 UTC,-9.46,65.62,-6.27,72.48,-2.9000000000000004,10.620000000000001,7.28,7.57,-0.96,11.52,8.42,8.58,3.2,6.5714,0001600133,10019,-15.9812,0,0,134983235.0,NY,NEW YORK,1585016.0,-0.3628,0.203,1.0169,-17.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mid-Cap Focus,Value Investor","Investment Advisor,Hedge Fund",2014-02-14 05:00:00 UTC,134983235.0,United States,2025-05-15
