filer_id,Filer,Business Phone,WhaleScore 1 Yr Equal-Wt,WhaleScore 1 Yr Mgr-Wt,Fund Size,Holdings,MV,Turnover,% in Top 10,Perf Equal QoQ,Perf Equal All,Perf Mgr QoQ,Perf Mgr All,Earliest 13F,Perf Equal 1 Year,Perf Equal 5 Year,Perf Mgr-Wt 1 Year,Perf Mgr-Wt 5 Year,3 Yr Perf Annualized,5 Yr Perf Annualized,7 Yr Perf Annualized,10 Yr Perf Annualized,3 Yr Perf Mgr-Weight Annualized,5 Yr Perf Mgr-Weight Annualized,7 Yr Perf Mgr-Weight Annualized,10 Yr Perf Mgr-Weight Annualized,Avg Time in Top 10,Avg Time Held,Filer CIK,Filer Zip Code,Change in MV,Put Count,Call Count,Prior MV,State,City,Shares Traded,3-Year Sortino Equal Weight,STDDEV 3-Year,5 Yr Beta,3 Yr Alpha,ETF AUM,ETF AUM %,Investing Styles,Fund Classifications,First Date 13F Was Filed,Previous MV,Country
116365,&PARTNERS,615 252 6214,,,Small,512.0,725828288.0,48.6762,29.3913,6.4,62.29,5.92,79.87,2019-02-06 05:00:00 UTC,26.84,63.29,25.51,79.36,6.4799999999999995,10.299999999999999,,,6.800000000000001,12.4,,,7.0,4.8228,0000107136,37215,76.7749,0,0,410594551.0,TN,NASHVILLE,4820219.0,0.2136,0.1689,1.183,-2.75,383236368.0,52.8,"FINANCE concentrated,Low BETA Stock Focus","Broker-Dealer,Investment Advisor",2019-02-06 05:00:00 UTC,410594551.0,United States
357246,"1060 CAPITAL, LLC",3123613359,,,Micro,17.0,51769886.0,88.2353,99.3767,15.97,100.15,22.11,155.21,2017-02-01 05:00:00 UTC,30.67,90.17,40.61,131.13,-7.5200000000000005,13.719999999999999,10.13,,-0.29,18.240000000000002,14.2,,0.2,0.1667,0001602119,80206,45.7705,0,0,35514658.0,CO,DENVER,2711376.0,-0.2991,0.3436,1.6934,-19.11,0.0,0.0,Short-Term Focus,"Investment Advisor,Hedge Fund",2017-02-01 05:00:00 UTC,35514658.0,United States
500682,11 CAPITAL PARTNERS LP,646-989-3735,60,42,Small,18.0,310171957.0,27.7778,82.0148,4.33,20.6,6.15,7.92,2021-02-12 05:00:00 UTC,31.11,0.0,30.86,,2.9000000000000004,,,,-0.88,,,,3.4,5.4375,0001801172,10017,5.9862,2,0,292653170.0,NY,NEW YORK,446464.0,0.0026,0.209,1.0313,-7.06,62768400.0,20.237,Short-Term Focus,"Investment Advisor,Hedge Fund",2021-02-12 05:00:00 UTC,292653170.0,United States
163719,12 WEST CAPITAL MANAGEMENT LP,646-216-7040,70,46,Small,28.0,1108902843.0,39.2857,80.3055,1.85,180.21,6.18,102.0,2013-02-14 05:00:00 UTC,19.03,68.77,21.71,11.54,-4.33,11.03,16.37,8.51,-17.41,2.21,7.8,4.97,8.2,6.64,0001540531,10018,-1.3505,0,0,1124083867.0,NY,NEW YORK,15976724.0,-0.2571,0.2765,1.1372,-14.46,0.0,0.0,"Growth Investor,INFORMATION TECHNOLOGY concentrated,High BETA Stock Focus","Investment Advisor,Hedge Fund",2013-02-14 05:00:00 UTC,1124083867.0,United States
289237,"12TH STREET ASSET MANAGEMENT COMPANY, LLC",615-915-3701,73,70,Small,35.0,576514963.0,25.7143,62.0557,2.38,142.9,2.87,139.34,2015-02-17 05:00:00 UTC,25.48,95.89,18.9,91.41,9.31,14.39,10.96,,7.380000000000001,13.87,10.14,,9.7,12.5517,0001633703,37205,8.4396,0,0,531646082.0,TN,NASHVILLE,1889642.0,0.3998,0.1609,0.9951,0.77,31431750.0,5.452,"Value Investor,GARP,Low BETA Stock Focus","Investment Advisor,Hedge Fund",2015-02-17 05:00:00 UTC,531646082.0,United States
256611,13D MANAGEMENT LLC,(212) 223-2282,63,62,Micro,33.0,163799752.0,27.2727,46.5536,7.48,154.98,9.01,164.19,2014-02-14 05:00:00 UTC,16.94,96.75,18.85,100.8,0.67,14.49,10.57,9.84,1.81,14.96,11.26,10.22,1.9,6.4286,0001600133,10019,-3.6157,0,0,169944466.0,NY,NEW YORK,1326946.0,-0.1137,0.1931,1.0512,-8.54,0.0,0.0,Mid-Cap Focus,"Investment Advisor,Hedge Fund",2014-02-14 05:00:00 UTC,169944466.0,United States
500822,140 SUMMER PARTNERS LP,(212) 804-9763,89,78,Small,18.0,805898177.0,38.8889,76.8749,4.03,53.48,3.69,44.24,2021-02-16 05:00:00 UTC,30.44,0.0,27.43,,9.98,,,,6.9,,,,3.5,3.4118,0001820788,10106,38.8435,1,0,580436287.0,NY,NEW YORK,67330783.0,0.351,0.2045,0.8901,1.05,0.0,0.0,Short-Term Focus,"Investment Advisor,Hedge Fund",2021-02-16 05:00:00 UTC,580436287.0,United States
500835,140 SUMMER PARTNERS MASTER FUND LP,212-804-9763,,,Small,17.0,805898177.0,35.2941,76.8749,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,2.6,2.0588,0001844084,10018,,1,0,0.0,NY,NEW YORK,0.0,,,,,0.0,0.0,"","",,0.0,United States
256224,1492 CAPITAL MANAGEMENT LLC,4142761492,65,58,Micro,110.0,179656695.0,26.3636,30.6127,6.94,22.08,9.62,60.32,2014-02-13 05:00:00 UTC,13.58,23.23,13.47,35.98,-4.07,4.2700000000000005,3.95,2.35,-3.8600000000000003,6.34,7.21,5.319999999999999,2.4,6.7204,0001584087,53202,2.1035,0,0,175955449.0,WI,MILWAUKEE,3434686.0,-0.2592,0.2649,1.3382,-15.23,2224940.0,1.238,"",Investment Advisor,2014-02-13 05:00:00 UTC,175955449.0,United States
660822,14B CAPTIAL MANAGEMENT LP,646-777-5951,,,Micro,10.0,211882890.0,10.0,100.0,3.11,1.86,-0.52,-2.36,2024-02-14 05:00:00 UTC,0.0,0.0,,,,,,,,,,,0.9,0.9,0002009911,92037,27.9861,0,0,165551518.0,CA,LA JOLLA,749017.0,-0.1668,0.1543,0.8481,,0.0,0.0,"",Investment Advisor,2024-02-14 05:00:00 UTC,165551518.0,United States
