filer_id,Filer,Business Phone,WhaleScore 1 Yr Equal-Wt,WhaleScore 1 Yr Mgr-Wt,Fund Size,Holdings,13F AUM,Turnover,% in Top 10,Perf Equal QoQ,Perf Equal All,Perf Mgr QoQ,Perf Mgr All,Earliest 13F,Perf Equal 1 Year,Perf Equal 5 Year,Perf Mgr-Wt 1 Year,Perf Mgr-Wt 5 Year,3 Yr Perf Annualized,5 Yr Perf Annualized,7 Yr Perf Annualized,10 Yr Perf Annualized,3 Yr Perf Mgr-Weight Annualized,5 Yr Perf Mgr-Weight Annualized,7 Yr Perf Mgr-Weight Annualized,10 Yr Perf Mgr-Weight Annualized,Avg Time in Top 10,Avg Time Held,Filer CIK,Filer Zip Code,Change in MV,Put Count,Call Count,Prior MV,State,City,Shares Traded,3-Year Sortino Equal Weight,STDDEV 3-Year,5 Yr Beta,3 Yr Alpha,ETF AUM,ETF AUM %,Investing Styles,Fund Classifications,First Date 13F Was Filed,Previous 13F AUM,Country
116365,&PARTNERS,615 252 6214,,,Mid,1401.0,5172611067.0,35.6174,23.4503,5.63,79.33,5.81,100.44,2019-02-06 05:00:00 UTC,27.8,61.02,28.41,74.31,8.86,10.0,,,9.27,11.75,,,5.3,2.6832,0000107136,37215,126.4188,0,0,2284532571.0,TN,NASHVILLE,33641174.0,0.307,0.1673,1.1845,-1.64,2142256630.0,41.415,"Low BETA Stock Focus,FINANCE concentrated","Broker-Dealer,Investment Advisor",2019-02-06 05:00:00 UTC,2284532571.0,United States
357246,"1060 CAPITAL, LLC",3123613359,,,Micro,16.0,54463461.0,62.5,100.0,10.08,92.7,15.51,160.44,2017-02-01 05:00:00 UTC,27.46,58.35,47.03,92.22,-5.46,9.629999999999999,6.54,,3.73,13.96,11.49,,0.6,1.0,0001602119,80206,18.6424,0,0,45905545.0,CO,DENVER,1796644.0,-0.2942,0.3265,1.6919,-18.54,0.0,0.0,Short-Term Focus,"Investment Advisor,Hedge Fund",2017-02-01 05:00:00 UTC,45905545.0,United States
500682,11 CAPITAL PARTNERS LP,646-989-3735,67,42,Small,17.0,252062223.0,17.6471,79.3424,10.99,40.1,8.71,21.58,2021-02-12 05:00:00 UTC,37.84,0.0,33.33,,9.120000000000001,,,,3.74,,,,4.7,7.0,0001801172,10017,-2.2406,1,0,257839431.0,NY,NEW YORK,599774.0,0.2817,0.2037,1.0342,-1.75,12201750.0,4.841,"","Investment Advisor,Hedge Fund",2021-02-12 05:00:00 UTC,257839431.0,United States
163719,12 WEST CAPITAL MANAGEMENT LP,646-216-7040,64,46,Small,19.0,977383214.0,10.5263,91.0242,16.72,226.11,16.76,125.49,2013-02-14 05:00:00 UTC,38.68,81.32,44.52,4.24,-4.82,12.64,15.329999999999998,9.17,-15.509999999999998,0.83,5.8500000000000005,5.0200000000000005,8.5,10.7647,0001540531,10018,0.4769,0,0,972744437.0,NY,NEW YORK,13245844.0,-0.3185,0.27,1.1396,-15.88,0.0,0.0,"High BETA Stock Focus,INFORMATION TECHNOLOGY concentrated,Growth Investor,Mid-Cap Focus","Investment Advisor,Hedge Fund",2013-02-14 05:00:00 UTC,972744437.0,United States
289237,"12TH STREET ASSET MANAGEMENT COMPANY, LLC",615-915-3701,71,67,Small,31.0,592997158.0,6.4516,59.8888,8.43,173.15,6.9,166.99,2015-02-17 05:00:00 UTC,24.68,90.06,21.2,81.37,12.22,13.700000000000001,10.83,,10.7,12.65,10.100000000000001,,10.9,13.9667,0001633703,37205,8.2025,0,0,548043612.0,TN,NASHVILLE,1435472.0,0.5111,0.1667,0.9877,2.68,39505980.0,6.662,"Low BETA Stock Focus,Value Investor,GARP","Investment Advisor,Hedge Fund",2015-02-17 05:00:00 UTC,548043612.0,United States
256611,13D MANAGEMENT LLC,(212) 223-2282,53,49,Micro,24.0,136390047.0,20.8333,65.2386,6.1,159.42,7.54,174.79,2014-02-14 05:00:00 UTC,19.31,68.29,22.8,77.27,2.09,10.97,9.74,9.75,3.91,12.13,10.639999999999999,10.5,2.2,7.0,0001600133,10019,-0.486,0,0,137056095.0,NY,NEW YORK,2021325.0,-0.0842,0.1946,1.0341,-8.33,0.0,0.0,Mid-Cap Focus,"Investment Advisor,Hedge Fund",2014-02-14 05:00:00 UTC,137056095.0,United States
500822,140 SUMMER PARTNERS LP,(212) 804-9763,87,81,Small,24.0,928302728.0,37.5,72.6725,9.33,73.06,9.01,64.48,2021-02-16 05:00:00 UTC,30.81,0.0,31.76,,18.22,,,,16.05,,,,4.0,3.4762,0001820788,10106,11.7229,0,2,830897593.0,NY,NEW YORK,160560542.0,0.7235,0.2027,0.8852,7.88,0.0,0.0,"Short-Term Focus,Value Investor","Investment Advisor,Hedge Fund",2021-02-16 05:00:00 UTC,830897593.0,United States
500835,140 SUMMER PARTNERS MASTER FUND LP,212-804-9763,,,Small,21.0,928302728.0,28.5714,72.6725,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,3.2,2.5238,0001844084,10018,,0,2,0.0,NY,NEW YORK,0.0,,,,,0.0,0.0,"","",,0.0,United States
256224,1492 CAPITAL MANAGEMENT LLC,4142761492,61,56,Micro,113.0,200282951.0,26.5487,35.0235,11.64,40.04,11.0,83.71,2014-02-13 05:00:00 UTC,30.99,36.1,33.68,51.77,-1.69,6.36,4.45,5.01,-1.34,8.7,7.64,8.05,3.0,7.0,0001584087,53202,13.1856,0,0,176950865.0,WI,MILWAUKEE,2440645.0,-0.212,0.2649,1.3581,-14.16,2554606.0,1.275,GARP,Investment Advisor,2014-02-13 05:00:00 UTC,176950865.0,United States
660822,14B CAPTIAL MANAGEMENT LP,646-777-5951,,,Micro,11.0,223095324.0,18.1818,100.0,0.45,4.46,5.23,6.77,2024-02-14 05:00:00 UTC,0.0,0.0,,,,,,,,,,,2.4,2.4,0002009911,92037,4.2554,0,0,213989160.0,CA,LA JOLLA,926900.0,-0.3117,0.0764,0.5662,,0.0,0.0,"","Investment Advisor,Hedge Fund",2024-02-14 05:00:00 UTC,213989160.0,United States
50479,"1607 CAPITAL PARTNERS, LLC",1-804-525-1750,30,22,Small,147.0,1093260665.0,16.3265,35.7048,-0.52,235.74,-0.97,226.02,2009-02-17 05:00:00 UTC,9.29,15.35,8.78,15.56,-1.0,2.9000000000000004,2.82,4.390000000000001,-0.32,2.93,2.71,4.09,15.7,18.6176,0001436866,23219,-2.0607,0,0,1116263527.0,VA,RICHMOND,15323567.0,-0.3572,0.1318,0.7051,-9.82,1030944825.0,94.3,"Small-Cap Focus,MUTUAL FUND concentrated,Long-Term Focus,Low BETA Stock Focus,ETF Investor","Investment Advisor,Hedge Fund",2009-02-17 05:00:00 UTC,1116263527.0,United States
